Facility Name,Status,Region,Technology,Generator Capacity (MW),Latitude,Longitude
Willogoleche,operating,South Australia,Wind,119,-33.393569,138.84821
Windy Hill,operating,Queensland,Wind,12,-17.590399,145.52968
Wonthaggi,operating,Victoria,Wind,12,-38.60513,145.546292
Woodlawn,operating,New South Wales,Wind,48,-35.0816745987566,149.570510727867
Woolnorth,operating,Tasmania,Wind,140,-40.7363747501987,144.694820513736
Yaloak South,operating,Victoria,Wind,28,-37.716474,144.241947
Yambuk,operating,Victoria,Wind,30,-38.305278107624,142.018439165612
Yandin,operating,Western Australia,Wind,214,-30.6809709085977,115.694249343404
Yawong,operating,Victoria,Wind,7.2,-36.471022,143.361722
Yendon,operating,Victoria,Wind,144,-37.630952,144.022463
